
flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,fwd_bytes,bwd_bytes,app,sni,domain,pkt_min,pkt_max,pkt_avg,pkt_variance,pkt_stddev,tcp_retransmissions,tcp_out_of_order,tcp_rst_count,tcp_fin_count,tcp_conn_state,tcp_handshake_ok,threat,severity,evidence
11,"10.255.255.254","10.255.255.254",40452,53,"UDP",4,296,0,"Unknown","","ntp.ubuntu.com",74,74,74.00,0.00,0.00,0,0,0,0,"INIT",0,"","",""
12,"127.0.0.1","127.0.0.1",18457,110,"TCP",4,108,108,"Unknown","","",54,54,54.00,0.00,0.00,2,2,2,0,"CLOSED",0,"TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | UNKNOWN_TLS | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE","DANGER","NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | DST=127.0.0.1:443 | Packets=3 | No SNI | App=Unknown | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1"
13,"127.0.0.1","127.0.0.1",18457,135,"TCP",4,108,108,"Unknown","","",54,54,54.00,0.00,0.00,2,2,2,0,"CLOSED",0,"TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | UNKNOWN_TLS | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE","DANGER","NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | DST=127.0.0.1:443 | Packets=3 | No SNI | App=Unknown | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1"
14,"127.0.0.1","127.0.0.1",18457,139,"TCP",4,108,108,"Unknown","","",54,54,54.00,0.00,0.00,2,2,2,0,"CLOSED",0,"TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | UNKNOWN_TLS | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE","DANGER","NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | DST=127.0.0.1:443 | Packets=3 | No SNI | App=Unknown | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1"
15,"127.0.0.1","127.0.0.1",27017,18457,"TCP",4,108,108,"Unknown","","",54,54,54.00,0.00,0.00,2,2,2,0,"CLOSED",0,"TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | UNKNOWN_TLS | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE","DANGER","NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | DST=127.0.0.1:443 | Packets=3 | No SNI | App=Unknown | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1"
16,"127.0.0.1","127.0.0.1",18457,22,"TCP",4,108,108,"Unknown","","",54,54,54.00,0.00,0.00,2,2,2,0,"CLOSED",0,"TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | UNKNOWN_TLS | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE","DANGER","NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | DST=127.0.0.1:443 | Packets=3 | No SNI | App=Unknown | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1"
17,"127.0.0.1","127.0.0.1",18457,23,"TCP",4,108,108,"Unknown","","",54,54,54.00,0.00,0.00,2,2,2,0,"CLOSED",0,"TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | UNKNOWN_TLS | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE","DANGER","NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | DST=127.0.0.1:443 | Packets=3 | No SNI | App=Unknown | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1"
18,"127.0.0.1","127.0.0.1",18457,25,"TCP",4,108,108,"Unknown","","",54,54,54.00,0.00,0.00,2,2,2,0,"CLOSED",0,"TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | UNKNOWN_TLS | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE","DANGER","NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | DST=127.0.0.1:443 | Packets=3 | No SNI | App=Unknown | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1"
19,"127.0.0.1","127.0.0.1",18457,3306,"TCP",4,108,108,"Unknown","","",54,54,54.00,0.00,0.00,2,2,2,0,"CLOSED",0,"TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | UNKNOWN_TLS | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE","DANGER","NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | DST=127.0.0.1:443 | Packets=3 | No SNI | App=Unknown | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1"
20,"127.0.0.1","127.0.0.1",18457,3389,"TCP",4,108,108,"Unknown","","",54,54,54.00,0.00,0.00,2,2,2,0,"CLOSED",0,"TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | UNKNOWN_TLS | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE","DANGER","NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | DST=127.0.0.1:443 | Packets=3 | No SNI | App=Unknown | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1"
21,"127.0.0.1","127.0.0.1",18457,443,"TCP",4,108,108,"Unknown","","",54,54,54.00,0.00,0.00,2,2,2,0,"CLOSED",0,"TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | UNKNOWN_TLS | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE | TCP_FLAG_ABUSE","DANGER","NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | DST=127.0.0.1:443 | Packets=3 | No SNI | App=Unknown | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1 | NULL packets=1 | SRC=127.0.0.1"
